40830,18th,pink,41.857908,-87.669147,1
41120,35th-bronzeville-iit,green,41.831677,-87.625826,1
40120,35th/archer,orange,41.829353,-87.680622,1
41270,43rd,green,41.816462,-87.619021,1
41080,47th,green,41.809209,-87.618826,1
41230,47th,red,41.810318,-87.63094,1
40130,51st,green,41.80209,-87.618487,1
40580,54th/cermak,pink,41.85177331,-87.75669201,1
40910,63rd,red,41.780536,-87.630952,1
40990,69th,red,41.768367,-87.625724,1
40240,79th,red,41.750419,-87.625112,1
41430,87th,red,41.735372,-87.624717,1
40450,95th/dan ryan,red,41.722377,-87.624342,1
40680,adams/wabash,brown,41.879507,-87.626037,0
40680,adams/wabash,green,41.879507,-87.626037,0
40680,adams/wabash,orange,41.879507,-87.626037,0
40680,adams/wabash,purple,41.879507,-87.626037,0
40680,adams/wabash,pink,41.879507,-87.626037,0
41240,addison,blue,41.9466037164,-87.7184584172,0
41420,addison,red,41.947316173,-87.6536241013,1
41440,addison,brown,41.947028,-87.674642,1
41200,argyle,red,41.9733220506,-87.6585279483,0
40660,armitage,brown,41.918217,-87.652644,1
40660,armitage,purple,41.918217,-87.652644,1
40170,ashland,green,41.885269,-87.666969,1
40170,ashland,pink,41.885269,-87.666969,1
41060,ashland,orange,41.839234,-87.665317,1
40290,ashland/63rd,green,41.77886,-87.663766,1
40010,austin,blue,41.870851,-87.776812,0
41260,austin,green,41.887293,-87.774135,0
40060,belmont,blue,41.9391107041,-87.71225212,0
41320,belmont,red,41.939751,-87.65338,1
41320,belmont,brown,41.939751,-87.65338,1
41320,belmont,purple,41.939751,-87.65338,1
40340,berwyn,red,41.977984,-87.658668,0
41380,bryn mawr,red,41.983504,-87.65884,0
40440,california,pink,41.854109,-87.694774,1
40570,california,blue,41.9221583097,-87.6972439537,0
41360,california,green,41.88422,-87.696234,1
40280,central,green,41.887389,-87.76565,1
41250,central,purple,42.063987,-87.685617,0
40780,central park,pink,41.853839,-87.714842,1
41000,cermak-chinatown,red,41.853206,-87.630968,1
41690,cermak-mccormick place,green,41.853115,-87.626402,1
40710,chicago,brown,41.89681,-87.635924,1
40710,chicago,purple,41.89681,-87.635924,1
41410,chicago,blue,41.896075,-87.655214,0
41450,chicago,red,41.896671,-87.628176,1
40420,cicero,pink,41.85182,-87.745336,1
40480,cicero,green,41.886519,-87.744698,1
40970,cicero,blue,41.871574,-87.745154,0
40630,clark/division,red,41.90392,-87.631412,1
40380,clark/lake,blue,41.885737,-87.630886,1
40380,clark/lake,brown,41.885737,-87.630886,1
40380,clark/lake,green,41.885737,-87.630886,1
40380,clark/lake,orange,41.885737,-87.630886,1
40380,clark/lake,purple,41.885737,-87.630886,1
40380,clark/lake,pink,41.885737,-87.630886,1
40430,clinton,blue,41.875539,-87.640984,0
41160,clinton,green,41.885678,-87.641782,1
41160,clinton,pink,41.885678,-87.641782,1
41670,conservatory-central park drive,green,41.884904,-87.716523,1
40720,cottage grove,green,41.780309,-87.605857,1
40230,cumberland,blue,41.984246,-87.838028,1
40090,damen,brown,41.966286,-87.678639,1
40210,damen,pink,41.854517,-87.675975,1
40590,damen,blue,41.9098452343,-87.6775400139,0
40050,davis,purple,42.04771,-87.683543,1
40690,dempster,purple,42.041655,-87.681602,0
40140,dempster-skokie,yellow,42.038951,-87.751919,1
40530,diversey,brown,41.932732,-87.653131,1
40530,diversey,purple,41.932732,-87.653131,1
40320,division,blue,41.903355,-87.666496,0
40390,forest park,blue,41.874257,-87.817318,1
40520,foster,purple,42.05416,-87.68356,0
40870,francisco,brown,41.966046,-87.701644,1
41220,fullerton,red,41.9253003719,-87.6528684398,1
41220,fullerton,brown,41.9253003719,-87.6528684398,1
41220,fullerton,purple,41.9253003719,-87.6528684398,1
40510,garfield,green,41.795172,-87.618327,1
41170,garfield,red,41.79542,-87.631157,1
40330,grand,red,41.891665,-87.628021,0
40490,grand,blue,41.891189,-87.647578,0
40760,granville,red,41.9944830093,-87.6591866269,1
40940,halsted,green,41.778943,-87.644244,1
